Exposure (mins),Sample 1,Sample 2,Sample 3,Sample 4,Sample 5 ,Sample 6,Sample 7,Sample 8
0.56679631,0.000534829,0.000112199,0.000593391,0.000487161,0.000335346,0.000771733,0.000308718,0.000281825
0.57824636,0.000440246,7.62E-05,0.00045803,0.000361877,0.000234098,0.000586758,0.00022289,0.000188995
0.58992771,0.000367916,5.26E-05,0.000357681,0.000271945,0.000164693,0.00044971,0.000163353,0.000127798
0.60184504,0.000312641,3.69E-05,0.00028317,0.000207268,0.00011709,0.000348156,0.000121842,8.74E-05
0.61400311,0.000270507,2.65E-05,0.000227708,0.000160601,8.44E-05,0.000272784,9.27E-05,6.07E-05
0.6264068,0.00023859,1.95E-05,0.000186313,0.000126789,6.17E-05,0.000216696,7.21E-05,4.29E-05
0.63906106,0.000214724,1.47E-05,0.00015535,0.000102187,4.60E-05,0.000174819,5.75E-05,3.10E-05
0.65197095,0.000197325,1.14E-05,0.000132181,8.42E-05,3.50E-05,0.000143443,4.70E-05,2.29E-05
0.66514163,0.000185258,9.17E-06,0.000114893,7.11E-05,2.72E-05,0.000119866,3.94E-05,1.73E-05
0.67857839,0.000177737,7.61E-06,0.000102112,6.16E-05,2.17E-05,0.000102125,3.40E-05,1.35E-05
0.69228658,0.00017426,6.54E-06,9.29E-05,5.47E-05,1.77E-05,8.88E-05,3.02E-05,1.08E-05
0.70627169,0.000174561,5.83E-06,8.64E-05,5.00E-05,1.49E-05,7.89E-05,2.77E-05,8.99E-06
0.72053933,0.00017858,5.39E-06,8.23E-05,4.69E-05,1.29E-05,7.16E-05,2.60E-05,7.70E-06
0.73509519,0.000186451,5.17E-06,8.03E-05,4.52E-05,1.14E-05,6.64E-05,2.52E-05,6.82E-06
0.7499451,0.000198496,5.15E-06,8.02E-05,4.48E-05,1.05E-05,6.29E-05,2.52E-05,6.25E-06
0.76509499,0.000215236,5.33E-06,8.18E-05,4.56E-05,9.87E-06,6.10E-05,2.58E-05,5.93E-06
0.78055094,0.000237406,5.72E-06,8.54E-05,4.76E-05,9.60E-06,6.04E-05,2.71E-05,5.82E-06
0.79631911,0.000265972,6.35E-06,9.09E-05,5.10E-05,9.61E-06,6.11E-05,2.93E-05,5.91E-06
0.81240583,0.00030216,7.30E-06,9.88E-05,5.60E-05,9.90E-06,6.31E-05,3.24E-05,6.21E-06
0.82881751,0.000347473,8.67E-06,0.000109263,6.28E-05,1.05E-05,6.65E-05,3.66E-05,6.74E-06
0.84556074,0.000403701,1.06E-05,0.000122903,7.19E-05,1.14E-05,7.14E-05,4.22E-05,7.55E-06
0.8626422,0.000472919,1.33E-05,0.000140345,8.38E-05,1.28E-05,7.80E-05,4.96E-05,8.70E-06
0.88006872,0.000557448,1.72E-05,0.000162409,9.93E-05,1.46E-05,8.65E-05,5.92E-05,1.03E-05
0.89784729,0.000659773,2.27E-05,0.000190106,0.000119466,1.72E-05,9.75E-05,7.17E-05,1.25E-05
0.91598501,0.000782409,3.06E-05,0.000224655,0.000145394,2.05E-05,0.000111387,8.78E-05,1.56E-05
0.93448913,0.000927685,4.18E-05,0.000267494,0.000178644,2.51E-05,0.000128728,0.000108606,1.98E-05
0.95336707,0.001097467,5.79E-05,0.000320274,0.000221054,3.11E-05,0.000150299,0.000135276,2.57E-05
0.97262636,0.001292794,8.09E-05,0.000384838,0.000274795,3.91E-05,0.000176991,0.000169323,3.37E-05
0.99227472,0.001513482,0.000113745,0.000463156,0.000342333,4.99E-05,0.00020986,0.000212512,4.49E-05
1.01232,0.00175771,0.000160329,0.000557241,0.000426355,6.43E-05,0.000250128,0.000266868,6.03E-05
1.0327702,0.002021681,0.000225781,0.000669,0.00052962,8.35E-05,0.000299173,0.000334639,8.16E-05
1.0536336,0.002299414,0.000316601,0.000800059,0.000654728,0.000108982,0.000358511,0.000418211,0.000110911
1.0749184,0.002582753,0.00044065,0.000951535,0.000803808,0.000142731,0.000429752,0.000519982,0.00015092
1.0966332,0.00286167,0.000606884,0.001123796,0.000978139,0.000187107,0.000514535,0.000642184,0.000205089
1.1187866,0.003124857,0.000824725,0.001316214,0.00117773,0.000244975,0.000614434,0.000786657,0.000277616
1.1413876,0.003360606,0.001102969,0.001526971,0.001400938,0.000319673,0.000730847,0.0009546,0.000373415
1.1644452,0.003557856,0.001448241,0.001752928,0.001644169,0.000414939,0.000864851,0.001146318,0.000497959
1.1879685,0.003707285,0.001863111,0.001989621,0.001901768,0.000534761,0.001017061,0.001360999,0.000656965
1.2119671,0.003802265,0.002344173,0.00223139,0.002166158,0.000683121,0.001187483,0.00159656,0.000855886
1.2364504,0.003839532,0.002880509,0.002471668,0.002428246,0.000863648,0.001375385,0.001849595,0.001099225
1.2614284,0.00381946,0.003453056,0.002703392,0.002678102,0.001079176,0.001579216,0.002115455,0.001389721
1.2869109,0.003745898,0.004035284,0.002919515,0.002905815,0.001331247,0.001796575,0.002388458,0.001727487
1.3129083,0.00362563,0.004595357,0.003113551,0.003102433,0.001619626,0.002024251,0.002662221,0.002109259
1.3394308,0.003467547,0.005099596,0.00328008,0.003260811,0.00194189,0.002258342,0.002930082,0.002527911
1.3664891,0.003281692,0.00551667,0.003415161,0.003376271,0.002293179,0.002494438,0.003185562,0.002972393
1.394094,0.003078322,0.00582169,0.003516583,0.003446953,0.002666183,0.002727872,0.003422804,0.003428175
1.4222565,0.002867113,0.005999364,0.003583956,0.003473824,0.003051406,0.00295399,0.003636958,0.003878231
1.450988,0.002656573,0.006045581,0.003618619,0.003460387,0.003437708,0.003168443,0.003824446,0.004304442
1.4802999,0.002453708,0.005967185,0.003623413,0.003412145,0.003813081,0.003367441,0.003983109,0.004689243
1.510204,0.002263913,0.00578016,0.003602348,0.00333594,0.004165563,0.003547968,0.004112216,0.005017259
1.5407121,0.002091043,0.005506733,0.003560227,0.00323927,0.004484184,0.003707924,0.00421236,0.005276685
1.5718366,0.00193762,0.0051721,0.003502263,0.003129681,0.004759805,0.003846192,0.004285263,0.005460201
1.6035898,0.001805105,0.004801395,0.003433752,0.003014286,0.004985753,0.003962624,0.004333528,0.005565337
1.6359844,0.001694204,0.004417345,0.003359796,0.002899451,0.005158188,0.004057971,0.004360358,0.005594268
1.6690335,0.00160516,0.004038799,0.003285117,0.002790637,0.005276165,0.004133747,0.004369297,0.00555314
1.7027502,0.001538029,0.003680134,0.00321395,0.002692373,0.005341435,0.004192069,0.00436398,0.005451092
1.7371481,0.001492922,0.003351342,0.003149997,0.002608346,0.005358021,0.00423548,0.004347941,0.005299131
1.7722408,0.001470223,0.003058589,0.003096451,0.002541542,0.005331671,0.004266771,0.004324448,0.005109048
1.8080424,0.001470785,0.002805009,0.003056048,0.002494443,0.005269248,0.004288818,0.004296398,0.004892472
1.8445673,0.001496123,0.002591571,0.003031152,0.002469223,0.005178151,0.004304446,0.004266245,0.004660151
1.88183,0.001548613,0.002417874,0.003023847,0.002467949,0.005065801,0.004316304,0.004235958,0.004421479
1.9198455,0.001631713,0.002282841,0.003036026,0.00249276,0.004939236,0.004326783,0.004207009,0.004184246
1.958629,0.001750203,0.002185265,0.003069477,0.002546033,0.00480483,0.004337942,0.004180371,0.003954583
1.9981959,0.001910455,0.00212424,0.00312594,0.002630501,0.004668108,0.004351459,0.004156533,0.003737041
2.0385621,0.002120724,0.002099484,0.003207154,0.002749352,0.004533676,0.00436859,0.004135515,0.003534763
2.0797438,0.002391405,0.002111594,0.003314851,0.00290625,0.004405209,0.004390138,0.004116892,0.003349695
2.1217574,0.002735205,0.002162242,0.003450726,0.003105295,0.004285502,0.004416425,0.004099814,0.003182813
2.1646198,0.0031671,0.002254345,0.003616343,0.003350853,0.00417654,0.004447256,0.004083034,0.003034331
2.208348,0.003703863,0.002392182,0.00381298,0.003647228,0.004079592,0.004481893,0.004064942,0.002903889
2.2529596,0.004362908,0.00258146,0.004041396,0.003998113,0.003995291,0.004519018,0.004043609,0.002790697
2.2984724,0.005160051,0.002829261,0.004301511,0.004405743,0.003923718,0.004556703,0.004016838,0.002693657
2.3449046,0.006105826,0.003143787,0.00459199,0.004869709,0.003864456,0.004592389,0.003982242,0.00261144
2.3922748,0.007200048,0.003533778,0.004909741,0.005385419,0.003816636,0.004622878,0.003937331,0.002542536
2.440602,0.008424709,0.004007417,0.005249349,0.005942261,0.003778964,0.004644361,0.003879629,0.002485292
2.4899054,0.009735993,0.004570516,0.0056025,0.006521692,0.003749729,0.004652485,0.003806808,0.002437913
2.5402048,0.011057287,0.005223818,0.005957476,0.007095632,0.00372681,0.004642477,0.003716834,0.002398465
2.5915204,0.012276341,0.00595933,0.006298858,0.007625798,0.003707672,0.00460934,0.003608122,0.00236487
2.6438726,0.013250613,0.006755946,0.006607579,0.008064723,0.003689377,0.004548123,0.003479691,0.002334901
2.6972823,0.013824336,0.007575076,0.006861523,0.008359245,0.003668603,0.004454269,0.003331294,0.002306186
2.751771,0.013858121,0.00835769,0.007036792,0.008456896,0.003641704,0.004324032,0.003163519,0.002276229
2.8073605,0.01326658,0.009024822,0.007109734,0.008314885,0.003604794,0.004154915,0.002977835,0.002242455
2.864073,0.012053154,0.009483825,0.007059646,0.007910315,0.003553897,0.003946116,0.002776587,0.002202283
2.9219311,0.010327369,0.009641895,0.006871893,0.007249103,0.003485137,0.003698889,0.00256291,0.002153231
2.980958,0.008292247,0.009426207,0.006540964,0.006370488,0.003394992,0.003416784,0.002340592,0.002093048
3.0411773,0.006200108,0.008806606,0.006072817,0.005344443,0.003280584,0.003105676,0.002113866,0.002019881
